지영	‘지영아, 내가 널 잊을 수 있겠니? 그때의 네 모습 그대로, 넌 항상 내 마음속에 있었어. 항상 [MASK]처럼 나를 위로 이끌어주고, 더 나은 삶으로 인도하며, 더 고귀한 가치를 바라보게 해줬지!’
하준	밧줄 미로 속에 엉키고 뒤틀린 채, 날카로운 미늘이 달린 작살과 창들이 번뜩이며 물기를 머금은 채 [MASK]의 보트 선수까지 튀어 올랐다. 이제 할 수 있는 일은 단 하나뿐이었다.
하준	제37장 석양. 선실 안, 선미 창가에 [MASK]이 혼자 앉아 밖을 응시하고 있다. 내가 항해하는 곳마다 하얗고 소용돌이치는 물결이 남는다. 시샘하는 파도가 내 앞길을 가로막으려 들지만, 나는 그보다 먼저 나아갈 것이다.
하준	[MASK]의 그 험악한 모습과 얼굴을 가로지르는 흉터가 너무나 강렬해서, 처음 몇 초 동안은 그가 지탱하고 서 있는 하얀 의족이 그 위압감의 원천이라는 사실조차 깨닫지 못했다.
서연	[MASK]이 고개를 들자, 중전이 팔짱을 낀 채 폭풍전야처럼 찌푸린 얼굴로 앞에 서 있었다. "폐하, 정말 좋은 날씨입니다!" 공작부인이 가냘픈 목소리로 말을 건넸다.
서연	우선 내가 누구인지부터 알려주세요. 그 사람이 마음에 들면 올라가겠지만, 아니면 누군가 다른 사람이 될 때까지 여기 밑에 있을래요. 아휴, 세상에!' [MASK]은 눈물을 터뜨리며 외쳤다. '제발 그들이 머리 좀 내밀어 줬으면 좋겠어!'
서연	‘그나저나 그 아기는 어떻게 됐어?’ 고양이가 잊었다는 듯 물었다. ‘돼지로 변했어.’ [MASK]은 마치 당연한 일이 일어난 것처럼 아주 덤덤하게 대답했다.
서연	‘제발 그렇게 밀지 마세요.’ 옆에 앉아 있던 잠쥐가 말했다. ‘숨을 못 쉬겠잖아요.’ ‘어쩔 수 없어,’ [MASK]이 아주 기가 죽은 목소리로 말했다. ‘나도 모르게 자꾸 몸이 커지는걸.’
서현	“우린 좋은 친구가 될 운명이었어, [MASK]. 넌 충분히 운명을 거부해 왔잖아. 우린 서로에게 많은 도움이 될 거야. 공부 계속할 거지? 나도 그럴 거야. 자, 같이 집에 가자.”
은우	그 순간 [MASK]의 정신줄이 툭 끊어졌다. 눈앞이 캄캄해지고 발끝이 머리 위로 솟구치는 기분이었다. 방 안의 모든 것이 평평하게 접히더니 소멸해 버렸고, 그는 자신의 배꼽 속으로 미끄러져 들어갔다.
지현	“학교에 가야 한다는 사실을 인정한다면, 매일 밤 예전처럼 같이 책을 읽어주마. 약속할 수 있겠니?” “네, 아빠!” 내가 침을 뱉어 약속을 증명하려 하자, [MASK]은 “그럴 필요까진 없단다.”라며 미소를 지었다.
